EKG,T,,,,,
359,2,116,0.044872905,0.862068966,0.013831281,0
359,3,,,,,
359,4,,,,,
360,5,,,,,
359,6,,,,,
360,7,,,,,
360,8,,,,,
360,9,,,,,
361,10,,,,,
361,11,,,,,
365,19,,,,,
368,27,,,,,
367,35,,,,,
365,45,,,,,
362,53,,,,,
363,61,,,,,
362,69,,,,,
355,77,,,,,
347,86,,,,,
336,94,,,,,
328,102,,,,,
323,112,,,,,
320,121,,,,,
322,131,,,,,
322,140,,,,,
322,149,,,,,
326,158,,,,,
327,167,,,,,
325,178,,,,,
325,187,,,,,
323,196,,,,,
324,205,,,,,
322,215,,,,,
322,224,,,,,
318,233,,,,,
318,242,,,,,
320,252,,,,,
320,262,,,,,
321,271,,,,,
320,280,,,,,
320,289,,,,,
318,299,,,,,
319,308,,,,,
319,318,,,,,
320,327,,,,,
316,336,,,,,
316,346,,,,,
315,355,,,,,
324,364,,,,,
330,373,,,,,
329,384,,,,,
331,393,,,,,
328,402,,,,,
320,411,,,,,
319,420,,,,,
322,430,,,,,
321,439,,,,,
320,449,,,,,
320,458,,,,,
299,467,,,,,
310,477,,,,,
495,486,,,,,
656,495,,,,,
447,504,,,,,
239,515,,,,,
261,524,,,,,
299,533,,,,,
309,542,,,,,
313,551,,,,,
319,561,,,,,
323,570,,,,,
326,580,,,,,
329,589,,,,,
332,599,,,,,
336,608,,,,,
339,617,,,,,
348,626,,,,,
354,635,,,,,
359,646,,,,,
363,655,,,,,
366,664,,,,,
367,673,,,,,
367,683,,,,,
363,692,,,,,
363,701,,,,,
363,711,,,,,
362,720,,,,,
355,730,,,,,
344,739,,,,,
334,748,,,,,
329,757,,,,,
326,766,,,,,
324,777,,,,,
325,786,,,,,
325,795,,,,,
327,804,,,,,
326,814,,,,,
325,823,,,,,
323,832,,,,,
325,841,,,,,
325,851,,,,,
325,861,,,,,
325,870,,,,,
322,879,,,,,
321,888,,,,,
320,898,,,,,
323,907,,,,,
322,917,,,,,
321,926,,,,,
319,935,,,,,
323,945,,,,,
321,954,,,,,
322,963,,,,,
321,972,,,,,
323,983,,,,,
324,992,,,,,
325,1001,,,,,
324,1011,,,,,
326,1021,,,,,
326,1032,,,,,
325,1043,,,,,
324,1053,,,,,
333,1063,,,,,
340,1074,,,,,
343,1084,,,,,
341,1094,,,,,
338,1104,,,,,
332,1116,,,,,
332,1126,,,,,
334,1136,,,,,
331,1146,,,,,
332,1157,,,,,
316,1167,,,,,
320,1178,,,,,
523,1188,,,,,
647,1199,,,,,
344,1209,,,,,
228,1219,,,,,
283,1229,,,,,
314,1240,,,,,
320,1251,,,,,
325,1261,,,,,
328,1271,,,,,
335,1282,,,,,
338,1292,,,,,
345,1302,,,,,
347,1313,,,,,
355,1324,,,,,
361,1334,,,,,
368,1344,,,,,
370,1354,,,,,
377,1364,,,,,
378,1376,,,,,
378,1386,,,,,
373,1396,,,,,
375,1406,,,,,
373,1417,,,,,
368,1427,,,,,
359,1437,,,,,
348,1448,,,,,
337,1459,,,,,
331,1469,,,,,
327,1479,,,,,
327,1489,,,,,
329,1500,,,,,
330,1511,,,,,
330,1521,,,,,
330,1531,,,,,
332,1542,,,,,
328,1552,,,,,
329,1562,,,,,
328,1572,,,,,
327,1584,,,,,
324,1594,,,,,
323,1604,,,,,
323,1614,,,,,
324,1625,,,,,
322,1635,,,,,
322,1646,,,,,
321,1656,,,,,
323,1667,,,,,
321,1677,,,,,
322,1687,,,,,
322,1697,,,,,
322,1709,,,,,
323,1719,,,,,
334,1729,,,,,
338,1739,,,,,
338,1750,,,,,
337,1760,,,,,
328,1770,,,,,
326,1781,,,,,
323,1792,,,,,
324,1802,,,,,
325,1812,,,,,
324,1822,,,,,
292,1832,,,,,
356,1844,,,,,
593,1854,,,,,
566,1864,,,,,
244,1874,,,,,
231,1885,,,,,
287,1895,,,,,
307,1905,,,,,
309,1916,,,,,
317,1927,,,,,
324,1937,,,,,
328,1947,,,,,
330,1957,,,,,
337,1968,,,,,
342,1979,,,,,
347,1989,,,,,
354,1999,,,,,
361,2010,,,,,
369,2020,,,,,
373,2030,,,,,
375,2041,,,,,
373,2052,,,,,
371,2062,,,,,
368,2072,,,,,
366,2082,,,,,
355,2093,,,,,
340,2103,,,,,
323,2114,,,,,
313,2124,,,,,
308,2135,,,,,
307,2145,,,,,
306,2155,,,,,
309,2165,,,,,
313,2177,,,,,
315,2187,,,,,
315,2197,,,,,
315,2207,,,,,
313,2217,,,,,
313,2228,,,,,
311,2238,,,,,
309,2249,,,,,
309,2259,,,,,
308,2270,,,,,
308,2280,,,,,
306,2290,,,,,
307,2300,,,,,
307,2312,,,,,
308,2322,,,,,
306,2332,,,,,
309,2342,,,,,
311,2353,,,,,
309,2363,,,,,
314,2374,,,,,
329,2384,,,,,
328,2395,,,,,
326,2405,,,,,
314,2415,,,,,
311,2425,,,,,
311,2436,,,,,
313,2447,,,,,
311,2457,,,,,
312,2467,,,,,
285,2478,,,,,
349,2488,,,,,
583,2498,,,,,
562,2509,,,,,
243,2520,,,,,
223,2530,,,,,
278,2540,,,,,
296,2550,,,,,
302,2561,,,,,
304,2571,,,,,
313,2582,,,,,
317,2592,,,,,
325,2603,,,,,
327,2613,,,,,
335,2623,,,,,
340,2633,,,,,
349,2644,,,,,
357,2655,,,,,
365,2665,,,,,
371,2675,,,,,
376,2685,,,,,
375,2696,,,,,
373,2707,,,,,
369,2717,,,,,
365,2727,,,,,
353,2738,,,,,
339,2748,,,,,
324,2758,,,,,
313,2768,,,,,
309,2780,,,,,
311,2790,,,,,
313,2800,,,,,
314,2810,,,,,
317,2821,,,,,
318,2831,,,,,
319,2842,,,,,
318,2852,,,,,
318,2863,,,,,
317,2873,,,,,
320,2883,,,,,
317,2893,,,,,
319,2904,,,,,
318,2915,,,,,
317,2925,,,,,
316,2935,,,,,
318,2946,,,,,
319,2956,,,,,
318,2966,,,,,
318,2977,,,,,
331,2988,,,,,
337,2998,,,,,
332,3008,,,,,
323,3018,,,,,
318,3028,,,,,
316,3040,,,,,
317,3050,,,,,
318,3060,,,,,
319,3070,,,,,
299,3081,,,,,
327,3091,,,,,
548,3101,,,,,
612,3112,,,,,
295,3123,,,,,
222,3133,,,,,
279,3143,,,,,
303,3153,,,,,
308,3164,,,,,
312,3175,,,,,
319,3185,,,,,
323,3195,,,,,
329,3206,,,,,
334,3216,,,,,
341,3226,,,,,
348,3236,,,,,
356,3248,,,,,
362,3258,,,,,
372,3268,,,,,
378,3278,,,,,
382,3289,,,,,
381,3299,,,,,
378,3310,,,,,
375,3320,,,,,
368,3331,,,,,
360,3341,,,,,
344,3351,,,,,
329,3361,,,,,
316,3373,,,,,
313,3383,,,,,
310,3393,,,,,
313,3403,,,,,
314,3414,,,,,
316,3424,,,,,
317,3434,,,,,
321,3445,,,,,
319,3456,,,,,
320,3466,,,,,
319,3476,,,,,
318,3486,,,,,
318,3496,,,,,
316,3508,,,,,
319,3518,,,,,
319,3528,,,,,
319,3538,,,,,
314,3549,,,,,
323,3559,,,,,
336,3569,,,,,
339,3580,,,,,
331,3591,,,,,
323,3601,,,,,
318,3611,,,,,
318,3621,,,,,
317,3632,,,,,
318,3643,,,,,
315,3653,,,,,
295,3663,,,,,
343,3674,,,,,
573,3684,,,,,
594,3694,,,,,
273,3705,,,,,
229,3716,,,,,
285,3726,,,,,
302,3736,,,,,
309,3746,,,,,
317,3757,,,,,
321,3767,,,,,
325,3778,,,,,
330,3788,,,,,
337,3799,,,,,
341,3809,,,,,
349,3819,,,,,
355,3829,,,,,
366,3841,,,,,
372,3851,,,,,
381,3861,,,,,
382,3871,,,,,
384,3881,,,,,
379,3892,,,,,
377,3902,,,,,
370,3913,,,,,
362,3923,,,,,
347,3934,,,,,
334,3944,,,,,
322,3954,,,,,
320,3964,,,,,
320,3976,,,,,
321,3986,,,,,
324,3996,,,,,
325,4006,,,,,
327,4017,,,,,
327,4027,,,,,
328,4038,,,,,
325,4048,,,,,
323,4059,,,,,
325,4069,,,,,
