EKG,T,,,,,
407,2,116,0.04906195,3.448275862,0.021548731,0
407,3,,,,,
408,4,,,,,
408,5,,,,,
409,6,,,,,
408,7,,,,,
408,8,,,,,
409,9,,,,,
408,10,,,,,
407,11,,,,,
401,19,,,,,
400,27,,,,,
400,35,,,,,
392,45,,,,,
398,53,,,,,
390,61,,,,,
394,69,,,,,
393,77,,,,,
389,86,,,,,
394,94,,,,,
386,102,,,,,
392,112,,,,,
385,121,,,,,
392,131,,,,,
385,140,,,,,
389,149,,,,,
386,158,,,,,
387,167,,,,,
386,178,,,,,
384,187,,,,,
385,196,,,,,
381,205,,,,,
385,215,,,,,
379,224,,,,,
385,233,,,,,
378,242,,,,,
385,252,,,,,
378,262,,,,,
385,271,,,,,
377,280,,,,,
383,289,,,,,
380,299,,,,,
385,308,,,,,
383,318,,,,,
384,327,,,,,
384,336,,,,,
379,346,,,,,
382,355,,,,,
377,364,,,,,
382,373,,,,,
375,384,,,,,
382,393,,,,,
373,402,,,,,
380,411,,,,,
399,420,,,,,
436,430,,,,,
389,439,,,,,
351,449,,,,,
352,458,,,,,
369,467,,,,,
374,477,,,,,
375,486,,,,,
377,495,,,,,
375,504,,,,,
379,515,,,,,
375,524,,,,,
381,533,,,,,
374,542,,,,,
382,551,,,,,
375,561,,,,,
383,570,,,,,
376,580,,,,,
384,589,,,,,
379,599,,,,,
384,608,,,,,
381,617,,,,,
383,626,,,,,
383,635,,,,,
382,646,,,,,
385,655,,,,,
381,664,,,,,
384,673,,,,,
377,683,,,,,
381,692,,,,,
372,701,,,,,
380,711,,,,,
372,720,,,,,
379,730,,,,,
373,739,,,,,
379,748,,,,,
374,757,,,,,
379,766,,,,,
376,777,,,,,
376,786,,,,,
377,795,,,,,
375,804,,,,,
377,814,,,,,
372,823,,,,,
376,832,,,,,
370,841,,,,,
377,851,,,,,
369,861,,,,,
377,870,,,,,
369,879,,,,,
376,888,,,,,
371,898,,,,,
376,907,,,,,
372,917,,,,,
375,926,,,,,
372,935,,,,,
372,945,,,,,
375,954,,,,,
373,963,,,,,
377,972,,,,,
373,983,,,,,
378,992,,,,,
370,1001,,,,,
375,1011,,,,,
368,1021,,,,,
374,1032,,,,,
369,1043,,,,,
373,1053,,,,,
367,1063,,,,,
389,1074,,,,,
427,1084,,,,,
388,1094,,,,,
340,1104,,,,,
348,1116,,,,,
366,1126,,,,,
366,1136,,,,,
371,1146,,,,,
367,1157,,,,,
374,1167,,,,,
368,1178,,,,,
375,1188,,,,,
369,1199,,,,,
377,1209,,,,,
370,1219,,,,,
379,1229,,,,,
372,1240,,,,,
381,1251,,,,,
376,1261,,,,,
382,1271,,,,,
377,1282,,,,,
381,1292,,,,,
378,1302,,,,,
382,1313,,,,,
379,1324,,,,,
378,1334,,,,,
377,1344,,,,,
373,1354,,,,,
375,1364,,,,,
371,1376,,,,,
375,1386,,,,,
370,1396,,,,,
376,1406,,,,,
370,1417,,,,,
376,1427,,,,,
369,1437,,,,,
376,1448,,,,,
367,1459,,,,,
375,1469,,,,,
367,1479,,,,,
374,1489,,,,,
367,1500,,,,,
373,1511,,,,,
368,1521,,,,,
372,1531,,,,,
369,1542,,,,,
372,1552,,,,,
371,1562,,,,,
370,1572,,,,,
372,1584,,,,,
373,1594,,,,,
376,1604,,,,,
371,1614,,,,,
373,1625,,,,,
366,1635,,,,,
371,1646,,,,,
365,1656,,,,,
371,1667,,,,,
364,1677,,,,,
369,1687,,,,,
375,1697,,,,,
423,1709,,,,,
390,1719,,,,,
342,1729,,,,,
340,1739,,,,,
362,1750,,,,,
361,1760,,,,,
367,1770,,,,,
365,1781,,,,,
369,1792,,,,,
368,1802,,,,,
369,1812,,,,,
370,1822,,,,,
370,1832,,,,,
373,1844,,,,,
371,1854,,,,,
375,1864,,,,,
372,1874,,,,,
379,1885,,,,,
373,1895,,,,,
380,1905,,,,,
372,1916,,,,,
380,1927,,,,,
373,1937,,,,,
379,1947,,,,,
371,1957,,,,,
375,1968,,,,,
366,1979,,,,,
372,1989,,,,,
366,1999,,,,,
371,2010,,,,,
368,2020,,,,,
371,2030,,,,,
369,2041,,,,,
370,2052,,,,,
369,2062,,,,,
368,2072,,,,,
371,2082,,,,,
367,2093,,,,,
370,2103,,,,,
365,2114,,,,,
370,2124,,,,,
364,2135,,,,,
372,2145,,,,,
363,2155,,,,,
373,2165,,,,,
368,2177,,,,,
375,2187,,,,,
366,2197,,,,,
370,2207,,,,,
363,2217,,,,,
369,2228,,,,,
364,2238,,,,,
369,2249,,,,,
365,2259,,,,,
365,2270,,,,,
387,2280,,,,,
425,2290,,,,,
374,2300,,,,,
332,2312,,,,,
347,2322,,,,,
357,2332,,,,,
365,2342,,,,,
361,2353,,,,,
367,2363,,,,,
362,2374,,,,,
369,2384,,,,,
363,2395,,,,,
371,2405,,,,,
364,2415,,,,,
373,2425,,,,,
367,2436,,,,,
375,2447,,,,,
370,2457,,,,,
378,2467,,,,,
373,2478,,,,,
377,2488,,,,,
373,2498,,,,,
377,2509,,,,,
374,2520,,,,,
374,2530,,,,,
370,2540,,,,,
366,2550,,,,,
367,2561,,,,,
364,2571,,,,,
367,2582,,,,,
363,2592,,,,,
369,2603,,,,,
363,2613,,,,,
369,2623,,,,,
362,2633,,,,,
370,2644,,,,,
362,2655,,,,,
369,2665,,,,,
362,2675,,,,,
370,2685,,,,,
362,2696,,,,,
368,2707,,,,,
364,2717,,,,,
371,2727,,,,,
367,2738,,,,,
368,2748,,,,,
363,2758,,,,,
364,2768,,,,,
364,2780,,,,,
363,2790,,,,,
365,2800,,,,,
362,2810,,,,,
363,2821,,,,,
376,2831,,,,,
417,2842,,,,,
371,2852,,,,,
335,2863,,,,,
339,2873,,,,,
