EKG,T,,,,,
404,2,94.10864575,0.031412324,1.219512195,0.018954136,0
404,3,,,,,
403,4,,,,,
403,5,,,,,
402,6,,,,,
401,7,,,,,
401,8,,,,,
400,9,,,,,
399,10,,,,,
398,11,,,,,
394,19,,,,,
397,27,,,,,
390,35,,,,,
385,45,,,,,
380,53,,,,,
369,61,,,,,
368,69,,,,,
359,77,,,,,
359,86,,,,,
357,94,,,,,
353,102,,,,,
356,112,,,,,
351,121,,,,,
356,131,,,,,
351,140,,,,,
356,149,,,,,
351,158,,,,,
355,167,,,,,
352,178,,,,,
355,187,,,,,
353,196,,,,,
354,205,,,,,
353,215,,,,,
352,224,,,,,
354,233,,,,,
352,242,,,,,
355,252,,,,,
349,262,,,,,
355,271,,,,,
349,280,,,,,
353,289,,,,,
349,299,,,,,
354,308,,,,,
351,318,,,,,
356,327,,,,,
354,336,,,,,
356,346,,,,,
354,355,,,,,
352,364,,,,,
353,373,,,,,
350,384,,,,,
352,393,,,,,
347,402,,,,,
352,411,,,,,
348,420,,,,,
352,430,,,,,
347,439,,,,,
352,449,,,,,
348,458,,,,,
352,467,,,,,
347,477,,,,,
344,486,,,,,
349,495,,,,,
383,504,,,,,
429,515,,,,,
425,524,,,,,
414,533,,,,,
351,542,,,,,
350,551,,,,,
346,561,,,,,
350,570,,,,,
344,580,,,,,
349,589,,,,,
345,599,,,,,
349,608,,,,,
347,617,,,,,
350,626,,,,,
349,635,,,,,
351,646,,,,,
353,655,,,,,
352,664,,,,,
356,673,,,,,
353,683,,,,,
359,692,,,,,
357,701,,,,,
365,711,,,,,
363,720,,,,,
370,730,,,,,
367,739,,,,,
372,748,,,,,
368,757,,,,,
369,766,,,,,
362,777,,,,,
357,786,,,,,
349,795,,,,,
342,804,,,,,
341,814,,,,,
335,823,,,,,
338,832,,,,,
333,841,,,,,
338,851,,,,,
333,861,,,,,
339,870,,,,,
335,879,,,,,
339,888,,,,,
336,898,,,,,
339,907,,,,,
337,917,,,,,
339,926,,,,,
340,935,,,,,
339,945,,,,,
341,954,,,,,
339,963,,,,,
342,972,,,,,
338,983,,,,,
343,992,,,,,
338,1001,,,,,
344,1011,,,,,
340,1021,,,,,
346,1032,,,,,
343,1043,,,,,
347,1053,,,,,
342,1063,,,,,
344,1074,,,,,
341,1084,,,,,
341,1094,,,,,
340,1104,,,,,
341,1116,,,,,
341,1126,,,,,
341,1136,,,,,
342,1146,,,,,
340,1157,,,,,
344,1167,,,,,
341,1178,,,,,
341,1188,,,,,
333,1199,,,,,
359,1209,,,,,
405,1219,,,,,
419,1229,,,,,
403,1240,,,,,
347,1251,,,,,
340,1261,,,,,
345,1271,,,,,
