EKG,T,,,,,
332,2,111.1321111,0.039369907,1.020408163,0.018583886,0
335,3,,,,,
340,4,,,,,
345,5,,,,,
351,6,,,,,
355,7,,,,,
357,8,,,,,
357,9,,,,,
356,10,,,,,
354,11,,,,,
339,19,,,,,
349,27,,,,,
360,35,,,,,
348,45,,,,,
375,53,,,,,
354,61,,,,,
376,69,,,,,
371,77,,,,,
364,86,,,,,
382,94,,,,,
358,102,,,,,
382,112,,,,,
349,121,,,,,
358,131,,,,,
325,140,,,,,
331,149,,,,,
314,158,,,,,
317,167,,,,,
316,178,,,,,
312,187,,,,,
324,196,,,,,
311,205,,,,,
329,215,,,,,
310,224,,,,,
335,233,,,,,
312,242,,,,,
339,252,,,,,
313,262,,,,,
337,271,,,,,
323,280,,,,,
348,289,,,,,
334,299,,,,,
338,308,,,,,
328,318,,,,,
316,327,,,,,
323,336,,,,,
311,346,,,,,
329,355,,,,,
309,364,,,,,
332,373,,,,,
293,384,,,,,
317,393,,,,,
415,402,,,,,
595,411,,,,,
425,420,,,,,
247,430,,,,,
243,439,,,,,
305,449,,,,,
314,458,,,,,
314,467,,,,,
329,477,,,,,
316,486,,,,,
339,495,,,,,
319,504,,,,,
350,515,,,,,
322,524,,,,,
355,533,,,,,
328,542,,,,,
361,551,,,,,
335,561,,,,,
364,570,,,,,
348,580,,,,,
366,589,,,,,
362,599,,,,,
361,608,,,,,
366,617,,,,,
352,626,,,,,
370,635,,,,,
343,646,,,,,
361,655,,,,,
318,664,,,,,
339,673,,,,,
301,683,,,,,
329,692,,,,,
299,701,,,,,
326,711,,,,,
305,720,,,,,
323,730,,,,,
313,739,,,,,
319,748,,,,,
323,757,,,,,
314,766,,,,,
330,777,,,,,
311,786,,,,,
334,795,,,,,
312,804,,,,,
350,814,,,,,
323,823,,,,,
354,832,,,,,
315,841,,,,,
335,851,,,,,
306,861,,,,,
326,870,,,,,
311,879,,,,,
320,888,,,,,
320,898,,,,,
306,907,,,,,
299,917,,,,,
375,926,,,,,
572,935,,,,,
471,945,,,,,
274,954,,,,,
223,963,,,,,
311,972,,,,,
304,983,,,,,
337,992,,,,,
312,1001,,,,,
342,1011,,,,,
318,1021,,,,,
351,1032,,,,,
324,1043,,,,,
360,1053,,,,,
332,1063,,,,,
365,1074,,,,,
339,1084,,,,,
373,1094,,,,,
351,1104,,,,,
380,1116,,,,,
360,1126,,,,,
382,1136,,,,,
361,1146,,,,,
375,1157,,,,,
359,1167,,,,,
359,1178,,,,,
343,1188,,,,,
331,1199,,,,,
327,1209,,,,,
315,1219,,,,,
327,1229,,,,,
312,1240,,,,,
334,1251,,,,,
313,1261,,,,,
342,1271,,,,,
314,1282,,,,,
346,1292,,,,,
317,1302,,,,,
349,1313,,,,,
313,1324,,,,,
349,1334,,,,,
325,1344,,,,,
358,1354,,,,,
327,1364,,,,,
342,1376,,,,,
311,1386,,,,,
329,1396,,,,,
311,1406,,,,,
328,1417,,,,,
315,1427,,,,,
311,1437,,,,,
305,1448,,,,,
457,1459,,,,,
564,1469,,,,,
325,1479,,,,,
234,1489,,,,,
276,1500,,,,,
330,1511,,,,,
312,1521,,,,,
342,1531,,,,,
317,1542,,,,,
350,1552,,,,,
321,1562,,,,,
357,1572,,,,,
328,1584,,,,,
364,1594,,,,,
336,1604,,,,,
370,1614,,,,,
347,1625,,,,,
378,1635,,,,,
358,1646,,,,,
381,1656,,,,,
359,1667,,,,,
375,1677,,,,,
363,1687,,,,,
369,1697,,,,,
352,1709,,,,,
337,1719,,,,,
329,1729,,,,,
313,1739,,,,,
322,1750,,,,,
306,1760,,,,,
328,1770,,,,,
307,1781,,,,,
335,1792,,,,,
309,1802,,,,,
341,1812,,,,,
310,1822,,,,,
345,1832,,,,,
312,1844,,,,,
345,1854,,,,,
320,1864,,,,,
356,1874,,,,,
324,1885,,,,,
339,1895,,,,,
306,1905,,,,,
326,1916,,,,,
306,1927,,,,,
324,1937,,,,,
312,1947,,,,,
314,1957,,,,,
296,1968,,,,,
431,1979,,,,,
565,1989,,,,,
350,1999,,,,,
215,2010,,,,,
263,2020,,,,,
323,2030,,,,,
310,2041,,,,,
337,2052,,,,,
313,2062,,,,,
349,2072,,,,,
322,2082,,,,,
358,2093,,,,,
328,2103,,,,,
364,2114,,,,,
336,2124,,,,,
371,2135,,,,,
348,2145,,,,,
380,2155,,,,,
358,2165,,,,,
385,2177,,,,,
365,2187,,,,,
380,2197,,,,,
366,2207,,,,,
372,2217,,,,,
352,2228,,,,,
341,2238,,,,,
330,2249,,,,,
313,2259,,,,,
319,2270,,,,,
305,2280,,,,,
327,2290,,,,,
306,2300,,,,,
333,2312,,,,,
309,2322,,,,,
340,2332,,,,,
312,2342,,,,,
348,2353,,,,,
315,2363,,,,,
350,2374,,,,,
324,2384,,,,,
359,2395,,,,,
327,2405,,,,,
344,2415,,,,,
309,2425,,,,,
329,2436,,,,,
309,2447,,,,,
328,2457,,,,,
312,2467,,,,,
317,2478,,,,,
300,2488,,,,,
430,2498,,,,,
556,2509,,,,,
347,2520,,,,,
211,2530,,,,,
265,2540,,,,,
326,2550,,,,,
312,2561,,,,,
339,2571,,,,,
316,2582,,,,,
349,2592,,,,,
322,2603,,,,,
357,2613,,,,,
327,2623,,,,,
366,2633,,,,,
338,2644,,,,,
374,2655,,,,,
347,2665,,,,,
382,2675,,,,,
361,2685,,,,,
388,2696,,,,,
366,2707,,,,,
384,2717,,,,,
366,2727,,,,,
376,2738,,,,,
354,2748,,,,,
341,2758,,,,,
327,2768,,,,,
314,2780,,,,,
322,2790,,,,,
308,2800,,,,,
325,2810,,,,,
307,2821,,,,,
333,2831,,,,,
309,2842,,,,,
341,2852,,,,,
315,2863,,,,,
348,2873,,,,,
314,2883,,,,,
351,2893,,,,,
327,2904,,,,,
359,2915,,,,,
324,2925,,,,,
342,2935,,,,,
309,2946,,,,,
330,2956,,,,,
309,2966,,,,,
325,2977,,,,,
311,2988,,,,,
313,2998,,,,,
303,3008,,,,,
453,3018,,,,,
528,3028,,,,,
