EKG,T,,,,,0
340,2,119.1521864,0.028720077,1.923076923,0.014073317,
329,3,,,,,
322,4,,,,,
319,5,,,,,
316,6,,,,,
315,7,,,,,
315,8,,,,,
317,9,,,,,
318,10,,,,,
321,11,,,,,
340,19,,,,,
372,27,,,,,
379,35,,,,,
380,45,,,,,
386,53,,,,,
390,61,,,,,
394,69,,,,,
397,77,,,,,
401,86,,,,,
408,94,,,,,
412,102,,,,,
420,112,,,,,
425,121,,,,,
436,131,,,,,
441,140,,,,,
448,149,,,,,
453,158,,,,,
456,167,,,,,
457,178,,,,,
455,187,,,,,
452,196,,,,,
444,205,,,,,
430,215,,,,,
413,224,,,,,
402,233,,,,,
389,242,,,,,
381,252,,,,,
377,262,,,,,
381,271,,,,,
378,280,,,,,
379,289,,,,,
380,299,,,,,
381,308,,,,,
380,318,,,,,
381,327,,,,,
381,336,,,,,
381,346,,,,,
381,355,,,,,
379,364,,,,,
380,373,,,,,
375,384,,,,,
371,393,,,,,
371,402,,,,,
385,411,,,,,
383,420,,,,,
379,430,,,,,
372,439,,,,,
365,449,,,,,
355,458,,,,,
351,467,,,,,
351,477,,,,,
347,486,,,,,
345,495,,,,,
345,504,,,,,
333,515,,,,,
304,524,,,,,
411,533,,,,,
654,542,,,,,
654,551,,,,,
364,561,,,,,
264,570,,,,,
290,580,,,,,
317,589,,,,,
319,599,,,,,
321,608,,,,,
323,617,,,,,
325,626,,,,,
327,635,,,,,
329,646,,,,,
333,655,,,,,
332,664,,,,,
340,673,,,,,
342,683,,,,,
348,692,,,,,
352,701,,,,,
358,711,,,,,
362,720,,,,,
366,730,,,,,
364,739,,,,,
364,748,,,,,
357,757,,,,,
346,766,,,,,
333,777,,,,,
317,786,,,,,
299,795,,,,,
289,804,,,,,
283,814,,,,,
277,823,,,,,
277,832,,,,,
278,841,,,,,
280,851,,,,,
280,861,,,,,
282,870,,,,,
283,879,,,,,
285,888,,,,,
282,898,,,,,
280,907,,,,,
281,917,,,,,
282,926,,,,,
283,935,,,,,
283,945,,,,,
283,954,,,,,
287,963,,,,,
298,972,,,,,
297,983,,,,,
294,992,,,,,
289,1001,,,,,
283,1011,,,,,
278,1021,,,,,
277,1032,,,,,
275,1043,,,,,
277,1053,,,,,
276,1063,,,,,
262,1074,,,,,
243,1084,,,,,
418,1094,,,,,
658,1104,,,,,
435,1116,,,,,
205,1126,,,,,
222,1136,,,,,
260,1146,,,,,
269,1157,,,,,
274,1167,,,,,
281,1178,,,,,
285,1188,,,,,
291,1199,,,,,
298,1209,,,,,
299,1219,,,,,
308,1229,,,,,
315,1240,,,,,
322,1251,,,,,
329,1261,,,,,
338,1271,,,,,
344,1282,,,,,
348,1292,,,,,
350,1302,,,,,
344,1313,,,,,
334,1324,,,,,
322,1334,,,,,
301,1344,,,,,
284,1354,,,,,
273,1364,,,,,
