EKG,T,,,,,
320,2,102.6030781,0.033073245,2.222222222,0.020635956,0
319,3,,,,,
318,4,,,,,
316,5,,,,,
315,6,,,,,
315,7,,,,,
315,8,,,,,
314,9,,,,,
315,10,,,,,
315,11,,,,,
317,19,,,,,
310,27,,,,,
301,35,,,,,
287,45,,,,,
273,53,,,,,
301,61,,,,,
318,69,,,,,
338,77,,,,,
334,86,,,,,
322,94,,,,,
317,102,,,,,
313,112,,,,,
311,121,,,,,
308,131,,,,,
308,140,,,,,
307,149,,,,,
307,158,,,,,
312,167,,,,,
352,178,,,,,
455,187,,,,,
449,196,,,,,
381,205,,,,,
215,215,,,,,
242,224,,,,,
289,233,,,,,
314,242,,,,,
323,252,,,,,
323,262,,,,,
324,271,,,,,
333,280,,,,,
333,289,,,,,
337,299,,,,,
341,308,,,,,
343,318,,,,,
349,327,,,,,
355,336,,,,,
366,346,,,,,
374,355,,,,,
378,364,,,,,
383,373,,,,,
385,384,,,,,
385,393,,,,,
387,402,,,,,
373,411,,,,,
368,420,,,,,
358,430,,,,,
355,439,,,,,
333,449,,,,,
323,458,,,,,
319,467,,,,,
313,477,,,,,
311,486,,,,,
305,495,,,,,
299,504,,,,,
302,515,,,,,
305,524,,,,,
307,533,,,,,
311,542,,,,,
309,551,,,,,
314,561,,,,,
311,570,,,,,
313,580,,,,,
313,589,,,,,
311,599,,,,,
315,608,,,,,
310,617,,,,,
316,626,,,,,
314,635,,,,,
315,646,,,,,
309,655,,,,,
318,664,,,,,
315,673,,,,,
323,683,,,,,
325,692,,,,,
321,701,,,,,
313,711,,,,,
313,720,,,,,
311,730,,,,,
308,739,,,,,
311,748,,,,,
311,757,,,,,
311,766,,,,,
314,777,,,,,
314,786,,,,,
315,795,,,,,
316,804,,,,,
345,814,,,,,
462,823,,,,,
509,832,,,,,
462,841,,,,,
251,851,,,,,
246,861,,,,,
295,870,,,,,
321,879,,,,,
326,888,,,,,
332,898,,,,,
335,907,,,,,
338,917,,,,,
344,926,,,,,
344,935,,,,,
344,945,,,,,
351,954,,,,,
359,963,,,,,
365,972,,,,,
306,983,,,,,
329,992,,,,,
417,1001,,,,,
417,1011,,,,,
410,1021,,,,,
403,1032,,,,,
392,1043,,,,,
376,1053,,,,,
371,1063,,,,,
346,1074,,,,,
340,1084,,,,,
345,1094,,,,,
328,1104,,,,,
315,1116,,,,,
309,1126,,,,,
303,1136,,,,,
301,1146,,,,,
301,1157,,,,,
299,1167,,,,,
310,1178,,,,,
311,1188,,,,,
311,1199,,,,,
312,1209,,,,,
310,1219,,,,,
309,1229,,,,,
309,1240,,,,,
304,1251,,,,,
302,1261,,,,,
299,1271,,,,,
299,1282,,,,,
297,1292,,,,,
291,1302,,,,,
286,1313,,,,,
276,1324,,,,,
268,1334,,,,,
270,1344,,,,,
261,1354,,,,,
248,1364,,,,,
242,1376,,,,,
238,1386,,,,,
234,1396,,,,,
226,1406,,,,,
224,1417,,,,,
223,1427,,,,,
223,1437,,,,,
225,1448,,,,,
225,1459,,,,,
272,1469,,,,,
398,1479,,,,,
439,1489,,,,,
307,1500,,,,,
155,1511,,,,,
206,1521,,,,,
238,1531,,,,,
250,1542,,,,,
256,1552,,,,,
262,1562,,,,,
265,1572,,,,,
276,1584,,,,,
283,1594,,,,,
292,1604,,,,,
301,1614,,,,,
312,1625,,,,,
327,1635,,,,,
339,1646,,,,,
351,1656,,,,,
364,1667,,,,,
368,1677,,,,,
369,1687,,,,,
364,1697,,,,,
355,1709,,,,,
355,1719,,,,,
349,1729,,,,,
345,1739,,,,,
336,1750,,,,,
325,1760,,,,,
313,1770,,,,,
314,1781,,,,,
312,1792,,,,,
316,1802,,,,,
318,1812,,,,,
322,1822,,,,,
324,1832,,,,,
330,1844,,,,,
329,1854,,,,,
334,1864,,,,,
333,1874,,,,,
336,1885,,,,,
335,1895,,,,,
336,1905,,,,,
334,1916,,,,,
336,1927,,,,,
333,1937,,,,,
336,1947,,,,,
339,1957,,,,,
340,1968,,,,,
338,1979,,,,,
342,1989,,,,,
346,1999,,,,,
351,2010,,,,,
357,2020,,,,,
345,2030,,,,,
343,2041,,,,,
343,2052,,,,,
341,2062,,,,,
338,2072,,,,,
340,2082,,,,,
340,2093,,,,,
344,2103,,,,,
342,2114,,,,,
345,2124,,,,,
359,2135,,,,,
473,2145,,,,,
549,2155,,,,,
504,2165,,,,,
259,2177,,,,,
273,2187,,,,,
321,2197,,,,,
345,2207,,,,,
350,2217,,,,,
352,2228,,,,,
353,2238,,,,,
355,2249,,,,,
361,2259,,,,,
363,2270,,,,,
366,2280,,,,,
364,2290,,,,,
373,2300,,,,,
380,2312,,,,,
398,2322,,,,,
398,2332,,,,,
401,2342,,,,,
399,2353,,,,,
394,2363,,,,,
377,2374,,,,,
376,2384,,,,,
366,2395,,,,,
363,2405,,,,,
351,2415,,,,,
339,2425,,,,,
325,2436,,,,,
318,2447,,,,,
307,2457,,,,,
313,2467,,,,,
309,2478,,,,,
319,2488,,,,,
318,2498,,,,,
319,2509,,,,,
329,2520,,,,,
337,2530,,,,,
332,2540,,,,,
329,2550,,,,,
325,2561,,,,,
325,2571,,,,,
331,2582,,,,,
334,2592,,,,,
333,2603,,,,,
334,2613,,,,,
338,2623,,,,,
335,2633,,,,,
348,2644,,,,,
349,2655,,,,,
349,2665,,,,,
354,2675,,,,,
355,2685,,,,,
350,2696,,,,,
347,2707,,,,,
347,2717,,,,,
339,2727,,,,,
337,2738,,,,,
340,2748,,,,,
332,2758,,,,,
325,2768,,,,,
326,2780,,,,,
324,2790,,,,,
325,2800,,,,,
336,2810,,,,,
445,2821,,,,,
521,2831,,,,,
489,2842,,,,,
265,2852,,,,,
255,2863,,,,,
305,2873,,,,,
327,2883,,,,,
328,2893,,,,,
328,2904,,,,,
322,2915,,,,,
336,2925,,,,,
340,2935,,,,,
339,2946,,,,,
336,2956,,,,,
359,2966,,,,,
361,2977,,,,,
372,2988,,,,,
375,2998,,,,,
383,3008,,,,,
381,3018,,,,,
389,3028,,,,,
385,3040,,,,,
378,3050,,,,,
367,3060,,,,,
354,3070,,,,,
349,3081,,,,,
340,3091,,,,,
334,3101,,,,,
321,3112,,,,,
312,3123,,,,,
302,3133,,,,,
302,3143,,,,,
294,3153,,,,,
308,3164,,,,,
305,3175,,,,,
310,3185,,,,,
303,3195,,,,,
306,3206,,,,,
302,3216,,,,,
300,3226,,,,,
301,3236,,,,,
307,3248,,,,,
303,3258,,,,,
300,3268,,,,,
294,3278,,,,,
296,3289,,,,,
295,3299,,,,,
292,3310,,,,,
294,3320,,,,,
292,3331,,,,,
303,3341,,,,,
301,3351,,,,,
298,3361,,,,,
286,3373,,,,,
285,3383,,,,,
284,3393,,,,,
284,3403,,,,,
279,3414,,,,,
283,3424,,,,,
281,3434,,,,,
283,3445,,,,,
285,3456,,,,,
297,3466,,,,,
389,3476,,,,,
475,3486,,,,,
446,3496,,,,,
225,3508,,,,,
222,3518,,,,,
275,3528,,,,,
291,3538,,,,,
299,3549,,,,,
299,3559,,,,,
299,3569,,,,,
305,3580,,,,,
310,3591,,,,,
315,3601,,,,,
319,3611,,,,,
326,3621,,,,,
336,3632,,,,,
342,3643,,,,,
349,3653,,,,,
358,3663,,,,,
365,3674,,,,,
366,3684,,,,,
356,3694,,,,,
349,3705,,,,,
336,3716,,,,,
327,3726,,,,,
315,3736,,,,,
310,3746,,,,,
296,3757,,,,,
287,3767,,,,,
276,3778,,,,,
273,3788,,,,,
269,3799,,,,,
273,3809,,,,,
276,3819,,,,,
279,3829,,,,,
278,3841,,,,,
282,3851,,,,,
284,3861,,,,,
283,3871,,,,,
283,3881,,,,,
281,3892,,,,,
282,3902,,,,,
282,3913,,,,,
282,3923,,,,,
285,3934,,,,,
286,3944,,,,,
285,3954,,,,,
289,3964,,,,,
295,3976,,,,,
301,3986,,,,,
295,3996,,,,,
288,4006,,,,,
283,4017,,,,,
286,4027,,,,,
283,4038,,,,,
287,4048,,,,,
285,4059,,,,,
288,4069,,,,,
288,4079,,,,,
296,4089,,,,,
302,4100,,,,,
378,4111,,,,,
477,4121,,,,,
459,4131,,,,,
270,4142,,,,,
220,4152,,,,,
279,4162,,,,,
305,4173,,,,,
316,4184,,,,,
318,4194,,,,,
324,4204,,,,,
325,4214,,,,,
330,4225,,,,,
333,4235,,,,,
339,4246,,,,,
343,4256,,,,,
350,4267,,,,,
357,4277,,,,,
369,4287,,,,,
371,4297,,,,,
382,4308,,,,,
382,4319,,,,,
380,4329,,,,,
367,4339,,,,,
361,4349,,,,,
348,4360,,,,,
340,4371,,,,,
328,4381,,,,,
323,4391,,,,,
315,4402,,,,,
305,4412,,,,,
301,4422,,,,,
299,4432,,,,,
300,4444,,,,,
301,4454,,,,,
304,4464,,,,,
303,4474,,,,,
309,4485,,,,,
312,4495,,,,,
312,4506,,,,,
309,4516,,,,,
312,4527,,,,,
311,4537,,,,,
311,4547,,,,,
313,4557,,,,,
315,4568,,,,,
313,4579,,,,,
321,4589,,,,,
318,4599,,,,,
325,4610,,,,,
325,4620,,,,,
317,4630,,,,,
310,4641,,,,,
308,4652,,,,,
305,4662,,,,,
311,4672,,,,,
309,4682,,,,,
311,4692,,,,,
311,4704,,,,,
312,4714,,,,,
313,4724,,,,,
340,4734,,,,,
459,4745,,,,,
506,4755,,,,,
429,4765,,,,,
221,4776,,,,,
264,4787,,,,,
311,4797,,,,,
330,4807,,,,,
331,4817,,,,,
337,4828,,,,,
338,4839,,,,,
343,4849,,,,,
347,4859,,,,,
355,4870,,,,,
360,4880,,,,,
368,4890,,,,,
371,4900,,,,,
382,4912,,,,,
388,4922,,,,,
393,4932,,,,,
396,4942,,,,,
396,4953,,,,,
390,4963,,,,,
379,4974,,,,,
371,4984,,,,,
361,4995,,,,,
352,5005,,,,,
343,5015,,,,,
327,5025,,,,,
320,5037,,,,,
316,5047,,,,,
305,5057,,,,,
307,5067,,,,,
311,5078,,,,,
316,5088,,,,,
315,5098,,,,,
316,5109,,,,,
316,5120,,,,,
320,5130,,,,,
316,5140,,,,,
318,5150,,,,,
318,5160,,,,,
318,5172,,,,,
320,5182,,,,,
323,5192,,,,,
319,5202,,,,,
326,5213,,,,,
323,5223,,,,,
329,5233,,,,,
332,5244,,,,,
322,5255,,,,,
318,5265,,,,,
314,5275,,,,,
314,5285,,,,,
311,5296,,,,,
315,5307,,,,,
313,5317,,,,,
318,5327,,,,,
310,5338,,,,,
321,5348,,,,,
337,5358,,,,,
435,5369,,,,,
507,5380,,,,,
474,5390,,,,,
235,5400,,,,,
241,5410,,,,,
305,5421,,,,,
331,5431,,,,,
335,5442,,,,,
345,5452,,,,,
347,5463,,,,,
353,5473,,,,,
354,5483,,,,,
358,5493,,,,,
364,5505,,,,,
366,5515,,,,,
378,5525,,,,,
384,5535,,,,,
392,5545,,,,,
398,5556,,,,,
399,5566,,,,,
400,5577,,,,,
400,5587,,,,,
388,5598,,,,,
378,5608,,,,,
368,5618,,,,,
358,5628,,,,,
347,5640,,,,,
335,5650,,,,,
323,5660,,,,,
319,5670,,,,,
312,5681,,,,,
312,5691,,,,,
312,5702,,,,,
316,5712,,,,,
315,5723,,,,,
318,5733,,,,,
320,5743,,,,,
320,5753,,,,,
320,5764,,,,,
320,5775,,,,,
321,5785,,,,,
321,5795,,,,,
323,5806,,,,,
324,5816,,,,,
322,5826,,,,,
322,5837,,,,,
327,5848,,,,,
320,5858,,,,,
312,5868,,,,,
306,5878,,,,,
308,5889,,,,,
304,5899,,,,,
304,5910,,,,,
301,5920,,,,,
302,5931,,,,,
299,5941,,,,,
303,5951,,,,,
317,5961,,,,,
400,5972,,,,,
487,5983,,,,,
451,5993,,,,,
230,6003,,,,,
206,6013,,,,,
271,6024,,,,,
297,6035,,,,,
306,6045,,,,,
308,6055,,,,,
311,6066,,,,,
313,6076,,,,,
316,6086,,,,,
323,6096,,,,,
331,6108,,,,,
335,6118,,,,,
343,6128,,,,,
349,6138,,,,,
359,6149,,,,,
365,6159,,,,,
368,6170,,,,,
369,6180,,,,,
369,6191,,,,,
362,6201,,,,,
353,6211,,,,,
343,6221,,,,,
332,6232,,,,,
322,6243,,,,,
317,6253,,,,,
307,6263,,,,,
302,6274,,,,,
298,6284,,,,,
293,6294,,,,,
301,6305,,,,,
305,6316,,,,,
306,6326,,,,,
307,6336,,,,,
310,6346,,,,,
312,6356,,,,,
315,6368,,,,,
313,6378,,,,,
317,6388,,,,,
319,6398,,,,,
323,6409,,,,,
320,6419,,,,,
317,6429,,,,,
323,6440,,,,,
316,6451,,,,,
325,6461,,,,,
330,6471,,,,,
325,6481,,,,,
318,6492,,,,,
316,6503,,,,,
314,6513,,,,,
315,6523,,,,,
314,6534,,,,,
317,6544,,,,,
318,6554,,,,,
316,6564,,,,,
319,6576,,,,,
338,6586,,,,,
444,6596,,,,,
506,6606,,,,,
455,6617,,,,,
248,6627,,,,,
264,6638,,,,,
314,6648,,,,,
327,6659,,,,,
333,6669,,,,,
333,6679,,,,,
337,6689,,,,,
336,6701,,,,,
346,6711,,,,,
351,6721,,,,,
356,6731,,,,,
361,6742,,,,,
369,6752,,,,,
378,6762,,,,,
385,6773,,,,,
388,6784,,,,,
393,6794,,,,,
392,6804,,,,,
387,6814,,,,,
380,6824,,,,,
371,6836,,,,,
363,6846,,,,,
351,6856,,,,,
341,6866,,,,,
326,6877,,,,,
318,6887,,,,,
309,6897,,,,,
305,6908,,,,,
303,6919,,,,,
306,6929,,,,,
305,6939,,,,,
307,6949,,,,,
307,6960,,,,,
305,6971,,,,,
314,6981,,,,,
314,6991,,,,,
311,7002,,,,,
310,7012,,,,,
310,7022,,,,,
310,7033,,,,,
310,7044,,,,,
309,7054,,,,,
313,7064,,,,,
313,7074,,,,,
318,7085,,,,,
318,7095,,,,,
310,7106,,,,,
304,7116,,,,,
302,7127,,,,,
298,7137,,,,,
299,7147,,,,,
299,7157,,,,,
301,7169,,,,,
303,7179,,,,,
304,7189,,,,,
305,7199,,,,,
313,7209,,,,,
392,7220,,,,,
498,7230,,,,,
497,7241,,,,,
273,7251,,,,,
227,7262,,,,,
285,7272,,,,,
312,7282,,,,,
318,7292,,,,,
321,7304,,,,,
323,7314,,,,,
327,7324,,,,,
330,7334,,,,,
335,7345,,,,,
340,7355,,,,,
347,7366,,,,,
353,7376,,,,,
363,7387,,,,,
369,7397,,,,,
377,7407,,,,,
381,7417,,,,,
382,7428,,,,,
376,7439,,,,,
368,7449,,,,,
358,7459,,,,,
353,7470,,,,,
340,7480,,,,,
331,7490,,,,,
320,7501,,,,,
309,7512,,,,,
301,7522,,,,,
295,7532,,,,,
293,7542,,,,,
295,7553,,,,,
296,7563,,,,,
297,7574,,,,,
302,7584,,,,,
301,7595,,,,,
304,7605,,,,,
303,7615,,,,,
305,7625,,,,,
303,7636,,,,,
306,7647,,,,,
305,7657,,,,,
309,7667,,,,,
307,7677,,,,,
307,7688,,,,,
309,7699,,,,,
311,7709,,,,,
306,7719,,,,,
301,7730,,,,,
299,7740,,,,,
300,7750,,,,,
301,7760,,,,,
301,7772,,,,,
301,7782,,,,,
302,7792,,,,,
305,7802,,,,,
305,7813,,,,,
321,7823,,,,,
422,7834,,,,,
516,7844,,,,,
480,7855,,,,,
247,7865,,,,,
237,7875,,,,,
289,7885,,,,,
312,7896,,,,,
317,7907,,,,,
320,7917,,,,,
324,7927,,,,,
324,7938,,,,,
329,7948,,,,,
333,7958,,,,,
337,7969,,,,,
344,7980,,,,,
351,7990,,,,,
359,8000,,,,,
367,8010,,,,,
373,8020,,,,,
377,8032,,,,,
376,8042,,,,,
369,8052,,,,,
361,8062,,,,,
352,8073,,,,,
343,8083,,,,,
331,8093,,,,,
324,8104,,,,,
313,8115,,,,,
304,8125,,,,,
297,8135,,,,,
294,8145,,,,,
291,8156,,,,,
290,8167,,,,,
292,8177,,,,,
296,8187,,,,,
301,8198,,,,,
305,8208,,,,,
305,8218,,,,,
308,8228,,,,,
309,8240,,,,,
310,8250,,,,,
310,8260,,,,,
313,8270,,,,,
312,8281,,,,,
312,8291,,,,,
311,8302,,,,,
309,8312,,,,,
317,8323,,,,,
320,8333,,,,,
315,8343,,,,,
310,8353,,,,,
310,8365,,,,,
310,8375,,,,,
310,8385,,,,,
311,8395,,,,,
313,8406,,,,,
312,8416,,,,,
313,8426,,,,,
314,8437,,,,,
331,8448,,,,,
450,8458,,,,,
509,8468,,,,,
446,8478,,,,,
253,8488,,,,,
272,8500,,,,,
314,8510,,,,,
328,8520,,,,,
332,8530,,,,,
336,8541,,,,,
338,8551,,,,,
340,8561,,,,,
345,8572,,,,,
350,8583,,,,,
355,8593,,,,,
360,8603,,,,,
370,8613,,,,,
377,8624,,,,,
385,8635,,,,,
395,8645,,,,,
397,8655,,,,,
396,8666,,,,,
389,8676,,,,,
382,8686,,,,,
374,8697,,,,,
364,8708,,,,,
354,8718,,,,,
342,8728,,,,,
329,8738,,,,,
316,8749,,,,,
310,8759,,,,,
307,8770,,,,,
305,8780,,,,,
310,8791,,,,,
311,8801,,,,,
314,8811,,,,,
316,8821,,,,,
317,8833,,,,,
318,8843,,,,,
319,8853,,,,,
320,8863,,,,,
319,8873,,,,,
319,8884,,,,,
318,8894,,,,,
319,8905,,,,,
316,8915,,,,,
316,8926,,,,,
316,8936,,,,,
314,8946,,,,,
320,8956,,,,,
329,8968,,,,,
322,8978,,,,,
319,8988,,,,,
317,8998,,,,,
317,9009,,,,,
316,9019,,,,,
316,9030,,,,,
314,9040,,,,,
316,9051,,,,,
317,9061,,,,,
319,9071,,,,,
325,9081,,,,,
427,9092,,,,,
497,9103,,,,,
471,9113,,,,,
279,9123,,,,,
264,9134,,,,,
309,9144,,,,,
329,9154,,,,,
333,9165,,,,,
334,9176,,,,,
338,9186,,,,,
342,9196,,,,,
346,9206,,,,,
347,9217,,,,,
356,9227,,,,,
360,9238,,,,,
368,9248,,,,,
375,9259,,,,,
383,9269,,,,,
389,9279,,,,,
392,9289,,,,,
391,9300,,,,,
388,9311,,,,,
380,9321,,,,,
373,9331,,,,,
360,9341,,,,,
349,9352,,,,,
339,9363,,,,,
326,9373,,,,,
312,9383,,,,,
306,9394,,,,,
299,9404,,,,,
299,9414,,,,,
302,9424,,,,,
304,9436,,,,,
305,9446,,,,,
305,9456,,,,,
308,9466,,,,,
306,9477,,,,,
309,9487,,,,,
308,9498,,,,,
308,9508,,,,,
307,9519,,,,,
307,9529,,,,,
304,9539,,,,,
305,9549,,,,,
304,9560,,,,,
308,9571,,,,,
307,9581,,,,,
305,9591,,,,,
305,9602,,,,,
311,9612,,,,,
318,9622,,,,,
321,9633,,,,,
311,9644,,,,,
305,9654,,,,,
306,9664,,,,,
306,9674,,,,,
305,9684,,,,,
306,9696,,,,,
308,9706,,,,,
306,9716,,,,,
309,9726,,,,,
309,9737,,,,,
328,9747,,,,,
444,9757,,,,,
495,9768,,,,,
430,9779,,,,,
245,9789,,,,,
267,9799,,,,,
307,9809,,,,,
319,9820,,,,,
324,9831,,,,,
327,9841,,,,,
332,9851,,,,,
332,9862,,,,,
337,9872,,,,,
340,9882,,,,,
345,9892,,,,,
352,9904,,,,,
361,9914,,,,,
369,9924,,,,,
375,9934,,,,,
385,9945,,,,,
388,9955,,,,,
384,9966,,,,,
380,9976,,,,,
371,9987,,,,,
362,9997,,,,,
354,10007,,,,,
341,10018,,,,,
331,10031,,,,,
317,10042,,,,,
306,10053,,,,,
299,10064,,,,,
299,10076,,,,,
299,10087,,,,,
301,10099,,,,,
305,10110,,,,,
308,10122,,,,,
311,10133,,,,,
310,10144,,,,,
311,10156,,,,,
309,10168,,,,,
307,10179,,,,,
310,10190,,,,,
307,10202,,,,,
307,10213,,,,,
307,10224,,,,,
308,10236,,,,,
310,10248,,,,,
308,10259,,,,,
309,10270,,,,,
310,10281,,,,,
321,10293,,,,,
324,10305,,,,,
314,10316,,,,,
311,10328,,,,,
310,10339,,,,,
311,10350,,,,,
311,10362,,,,,
312,10374,,,,,
311,10385,,,,,
312,10396,,,,,
315,10407,,,,,
335,10419,,,,,
463,10431,,,,,
505,10442,,,,,
364,10454,,,,,
239,10465,,,,,
294,10476,,,,,
322,10487,,,,,
327,10500,,,,,
330,10511,,,,,
335,10522,,,,,
339,10533,,,,,
343,10545,,,,,
349,10556,,,,,
357,10568,,,,,
362,10579,,,,,
371,10591,,,,,
379,10602,,,,,
385,10613,,,,,
390,10625,,,,,
389,10637,,,,,
383,10648,,,,,
371,10659,,,,,
364,10671,,,,,
353,10682,,,,,
341,10694,,,,,
330,10705,,,,,
316,10717,,,,,
312,10728,,,,,
304,10739,,,,,
304,10750,,,,,
304,10763,,,,,
307,10774,,,,,
309,10785,,,,,
314,10797,,,,,
316,10808,,,,,
314,10819,,,,,
315,10831,,,,,
311,10843,,,,,
311,10854,,,,,
311,10865,,,,,
311,10876,,,,,
310,10888,,,,,
310,10900,,,,,
310,10911,,,,,
309,10923,,,,,
