EKG,T
304,2
300,3
304,4
317,5
340,6
366,7
393,8
417,9
428,10
436,11
395,19
297,27
430,35
311,45
410,53
367,61
320,69
414,77
284,86
419,94
338,102
377,112
352,121
337,131
368,140
301,149
388,158
277,167
401,178
268,187
410,196
275,205
410,215
302,224
397,233
326,242
370,252
342,262
335,271
362,280
303,289
385,299
281,308
403,318
271,327
407,336
267,346
404,355
293,364
395,373
321,384
375,393
340,402
339,411
361,420
344,430
436,439
269,449
346,458
251,467
393,477
269,486
409,495
293,504
399,515
321,524
383,533
341,542
349,551
361,561
317,570
383,580
289,589
405,599
279,608
417,617
283,626
422,635
299,646
409,655
321,664
384,673
336,683
348,692
357,701
315,711
378,720
285,730
395,739
269,748
404,757
269,766
412,777
289,786
406,795
320,804
393,814
339,823
357,832
356,841
323,851
375,861
291,870
398,879
279,888
410,898
271,907
409,917
281,926
401,935
312,945
390,954
333,963
360,972
353,983
331,992
411,1001
370,1011
326,1021
283,1032
333,1043
354,1053
340,1063
380,1074
333,1084
397,1094
321,1104
405,1116
307,1126
414,1136
291,1146
422,1157
283,1167
423,1178
281,1188
419,1199
282,1209
411,1219
288,1229
403,1240
295,1251
387,1261
309,1271
371,1282
326,1292
359,1302
346,1313
347,1324
364,1334
337,1344
387,1354
330,1364
403,1376
318,1386
411,1396
300,1406
414,1417
282,1427
419,1437
278,1448
417,1459
273,1469
409,1479
274,1489
400,1500
278,1511
390,1521
290,1531
377,1542
348,1552
431,1562
323,1572
319,1584
329,1594
340,1604
365,1614
331,1625
388,1635
324,1646
403,1656
311,1667
411,1677
292,1687
418,1697
280,1709
422,1719
277,1729
423,1739
277,1750
419,1760
281,1770
411,1781
287,1792
396,1802
294,1812
376,1822
309,1832
363,1844
330,1854
352,1864
351,1874
341,1885
374,1895
331,1905
393,1916
320,1927
403,1937
304,1947
412,1957
287,1968
421,1979
280,1989
422,1999
271,2010
411,2020
267,2030
402,2041
269,2052
392,2062
280,2072
380,2082
304,2093
422,2103
364,2114
324,2124
302,2135
341,2145
362,2155
338,2165
384,2177
329,2187
399,2197
316,2207
406,2217
302,2228
409,2238
295,2249
409,2259
294,2270
403,2280
296,2290
395,2300
300,2312
386,2322
309,2332
378,2342
319,2353
361,2363
330,2374
347,2384
341,2395
335,2405
355,2415
328,2425
372,2436
321,2447
386,2457
316,2467
391,2478
305,2488
392,2498
